timestamp,symbol,phase,side,m15_score,h1_score,m15_max_w,h1_max_w,th_m15_cfg,th_h1_cfg,th_m15_eff,th_h1_eff,heavy_hits,adx_h1,regime,m5_snapshot_bars,anti_ch,decision,gate_m5_ok,gate_m15_h1_ok,gate_m15_score_ok,gate_h1_score_ok,gate_heavy_ok,gate_adx_ok,gate_regime_ok,gate_stable_ok,gates_ok,m15_EMA200,m15_MA50,m15_MACD,m15_RSI,m15_ADX,m15_VWAP,m15_SUPERTREND,m15_RANGE,m15_CHAIKINMF,m15_VOLUMESPIKE,m15_STOCHRSI,m15_BOLLINGERBANDS,h1_EMA200,h1_SUPERTREND,h1_RANGE,h1_MA50,h1_MACD,h1_RSI,h1_ADX,h1_VWAP,h1_CHAIKINMF,h1_VOLUMESPIKE,h1_STOCHRSI,h1_BOLLINGERBANDS
1760669022,BTC/USDT,scan,LONG,4.0,8.0,11.0,8.0,11.0,8.0,9.35,8.0,0,44.49,WEAK,2,False,full_ready=False; stable=False;,False,False,False,True,False,True,False,False,False,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1760669022,ETH/USDT,scan,LONG,5.5,5.5,11.0,8.0,11.0,8.0,9.35,8.0,1,36.58,WEAK,2,False,full_ready=False; stable=False;,False,False,False,False,False,True,False,False,False,0.0,2.0,2.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1760669022,BNB/USDT,scan,SHORT,7.3,8.0,11.0,8.0,11.0,8.0,9.35,8.0,3,30.13,NORMAL,2,False,full_ready=False; stable=False;,True,True,False,True,True,True,True,False,False,0.0,2.0,2.0,1.5,0.0,1.0,0.0,0.8,0.0,0.0,0.0,0.0,3.0,2.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1760669027,BTC/USDT,scan,LONG,4.0,8.0,11.0,8.0,11.0,8.0,9.35,8.0,0,44.49,WEAK,2,False,full_ready=False; stable=False;,False,False,False,True,False,True,False,False,False,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1760669022,SOL/USDT,scan,LONG,4.6,8.0,11.0,8.0,11.0,8.0,9.35,8.0,0,47.06,WEAK,2,False,full_ready=False; stable=False;,True,False,False,True,False,True,False,False,False,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,1.8,0.0,3.0,2.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1760669027,ETH/USDT,scan,LONG,5.5,5.5,11.0,8.0,11.0,8.0,9.35,8.0,1,36.58,WEAK,2,False,full_ready=False; stable=False;,False,False,False,False,False,True,False,False,False,0.0,2.0,2.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1760669022,XRP/USDT,scan,LONG,5.5,8.0,11.0,8.0,11.0,8.0,9.35,8.0,0,42.73,WEAK,2,False,full_ready=False; stable=False;,False,False,False,True,False,True,False,False,False,0.0,2.0,2.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1760669027,BNB/USDT,scan,SHORT,7.3,8.0,11.0,8.0,11.0,8.0,9.35,8.0,3,30.13,NORMAL,2,False,full_ready=False; stable=False;,False,True,False,True,True,True,True,False,False,0.0,2.0,2.0,1.5,0.0,1.0,0.0,0.8,0.0,0.0,0.0,0.0,3.0,2.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1760669022,ADA/USDT,scan,SHORT,3.8,8.0,11.0,8.0,11.0,8.0,9.35,8.0,3,48.32,NORMAL,2,False,full_ready=False; stable=False;,True,True,False,True,True,True,True,False,False,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.8,0.0,0.0,0.0,0.0,3.0,2.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1760669027,SOL/USDT,scan,LONG,4.6,8.0,11.0,8.0,11.0,8.0,9.35,8.0,0,47.06,WEAK,2,False,full_ready=False; stable=False;,False,False,False,True,False,True,False,False,False,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,1.8,0.0,3.0,2.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
